Tarla_ID,Bolge,Toprak_Tipi,Tarla_Alani_Donum,Ekim_Ayı,Ortalama_Sicaklik,Yagis_Miktari_mm,Gubre_Miktari_kg,Sulama_Sikligi_Hafta,Toprak_PH,Azot_Miktari,Hasere_Yogunlugu,Hasat_Verimi_Ton,Sulama_Maliyeti
TRL_00000,Akdeniz,Kumlu,129.62694459540833,Kasım,18.703635209895968,76.7943797424176,54.66131722653289,3,5.661432929616403,43.619812909009894,0.7142152859051399,2.127653540620272,71.77731141983827
TRL_00001,Güneydoğu Anadolu,Killi,436.5205575042622,Aralık,23.65590146767204,84.9472052126295,51.41054131119324,2,5.661432929616403,43.619812909009894,0.8133168833469403,2.5693972238098617,54.69145459689709
TRL_00002,İç Anadolu,Kalkerli,193.23388441584544,Kasım,25.18317448252968,118.52274223618045,34.602237315772676,1,5.661432929616403,43.619812909009894,0.8881661851344859,2.6541470928751814,27.803791048870217
TRL_00003,Güneydoğu Anadolu,Killi,265.2736140971359,Ekim,21.83634488174211,89.49479493548112,69.5140154483131,4,5.661432929616403,43.619812909009894,0.9350738505120736,2.335747562718213,99.71808513208192
TRL_00004,Güneydoğu Anadolu,Killi,394.8185690202176,Aralık,13.619872462162776,129.20140201825498,138.48197756016685,4,5.661432929616403,43.619812909009894,0.2092544105052787,4.306817222652173,122.25037766957617
TRL_00005,Marmara,Kumlu,489.7763597659645,Kasım,17.261935429971007,81.80527483484752,141.32071932082266,3,5.661432929616403,43.619812909009894,0.531920600690516,3.4459290235141746,110.7826812632681
TRL_00006,Akdeniz,Kalkerli,363.8685813227606,Kasım,20.23652943112823,83.01249475541793,68.8993828715027,2,5.661432929616403,43.619812909009894,0.6764378674997095,1.573513942798261,66.22893282296799
TRL_00007,Güneydoğu Anadolu,Kumlu,171.42625525585666,Ekim,17.523130960322497,49.048552486824775,92.39403234007813,2,5.661432929616403,43.619812909009894,0.3991027290825776,1.4846980053193788,72.16457965497582
TRL_00008,Ege,Killi,46.43086240607305,Ekim,23.628040982110065,82.08719273267724,67.28670313608802,4,5.661432929616403,43.619812909009894,0.7158058689159271,2.250022390119099,99.45034095894232
TRL_00009,Marmara,Killi,73.07661241049082,Ekim,25.30975807321391,155.73770955139597,139.4484490145667,1,5.661432929616403,43.619812909009894,0.41022328650519313,4.149846152377501,87.7315435201336
TRL_00010,İç Anadolu,Killi,231.10795690022508,Kasım,28.015347217076624,130.07284162488895,84.68620610911765,2,5.661432929616403,43.619812909009894,0.2959322938158593,3.2571920448093636,76.29418212999315
TRL_00011,Güneydoğu Anadolu,Tınlı,460.0308786219338,Kasım,23.900161999262302,121.74357384143691,137.62165358884823,1,5.661432929616403,43.619812909009894,0.1732333510537043,3.3457753756099735,77.02000297013853
TRL_00012,Güneydoğu Anadolu,Tınlı,410.2405024659507,Kasım,22.116029825169782,132.98448285118332,25.70503347412938,2,5.661432929616403,43.619812909009894,0.7442530045088764,2.4895051699075386,38.676018884373676
TRL_00013,Güneydoğu Anadolu,Tınlı,445.28878533365696,Kasım,28.351361486004826,80.30639205872083,88.37745541626367,2,5.661432929616403,43.619812909009894,0.06343850103854343,2.5435247904971074,72.03698586045441
TRL_00014,Akdeniz,Kumlu,366.12815762318706,Ekim,18.89477205663065,63.45327154339388,61.82368619765484,2,5.661432929616403,43.619812909009894,0.9106022764547534,2.511972182506989,68.89350854153801
TRL_00015,İç Anadolu,Kumlu,60.76042149589179,Kasım,11.638502578472519,164.15068661756823,98.05882643514356,3,5.661432929616403,43.619812909009894,0.5260645280676662,3.4309297293931627,91.92969013452114
TRL_00016,İç Anadolu,Kalkerli,127.40261261796715,Aralık,19.161539448163513,116.71458622449623,68.05034809438823,4,5.661432929616403,43.619812909009894,0.138430397432439,2.8911652715448977,93.83172145993277
TRL_00017,Marmara,Kumlu,292.24735057753975,Ekim,10.668644287293706,73.88947078068037,140.72541013112698,2,5.661432929616403,43.619812909009894,0.5733879130221756,3.3866806792696007,106.3045141664921
TRL_00018,Akdeniz,Tınlı,66.86345492689134,Kasım,27.61501117613645,93.44516663315554,89.82233615593714,3,5.661432929616403,43.619812909009894,0.14184667968421816,2.8374551020142187,90.6220144192901
TRL_00019,Güneydoğu Anadolu,Tınlı,50.292047433125724,Aralık,15.270270526062573,81.26182164483765,44.36723168109481,4,5.661432929616403,43.619812909009894,0.060799452542061094,1.7065757824358458,85.6274391745739
TRL_00020,Marmara,Tınlı,67.55590183578398,Aralık,25.518639826548544,66.64493148145282,71.27559930398893,4,5.661432929616403,43.619812909009894,0.1384767407502071,2.7326938418811775,93.63811219486634
TRL_00021,Ege,Kalkerli,401.5502788170267,Aralık,10.477342802537391,146.96694983199154,59.432143735526076,1,5.661432929616403,43.619812909009894,0.13258431474560295,2.669692722794959,37.965285606685256
TRL_00022,Akdeniz,Killi,368.08797223549004,Aralık,10.923838826605099,81.97061226486016,109.24585106487518,4,5.661432929616403,43.619812909009894,0.5089963859368054,2.2232394924943093,111.4501558785099
TRL_00023,İç Anadolu,Kalkerli,55.09059058658908,Aralık,16.988228119080297,132.46011951345417,97.22155867668866,2,5.661432929616403,43.619812909009894,0.8415936808526213,2.639099591595687,73.75213716745587
